,0
COLM,0.004438982348032936
CBU,0.03583336663168644
FUL,0.18445909094592725
OLN,0.011664779636868794
OTTR,0.014910950447468067
NHI,0.07465079451763734
CARG,0.350433455797992
WSFS,0.015838448004559556
WHD,0.1798449021933057
CRVL,0.013992126385154163
TPH,0.0973083665648028
CCOI,0.12950788314059067
NSP,0.10384786880079729
ROAD,0.15598342774301904
AUB,0.136220106861222
SMPL,0.0962936112132599
HOG,0.056884259981318436
NMIH,0.002089639280511408
CRNX,2.1174862148603757
AWR,0.04201348350391185
VIRT,0.013597733472723111
SRRK,4.548997839432707
NVST,16.305378564923743
ASGN,0.0650713787769776
GSHD,0.776215054317228
CRC,0.2887615830645984
GFF,3.0185966803863176
YETI,0.19830038422666316
WSBC,0.1217225291058684
WU,0.02459537078327536
PTEN,3.1664052350561316
VKTX,1.7854198799682162
PATK,0.32731267697470406
CPK,0.005022392361966792
INDB,0.15465682207656498
VCEL,0.11744296406129903
BLKB,0.5263683112558039
BHVN,15.97174916999241
PSN,0.16929132469547248
CWT,0.09984499060667659
AKR,1.667275542210135
SMTC,32.71604338084477
DNB,0.028768354723089366
AVA,0.016073978097369754
BOH,0.03266058385891649
VAC,0.031170502223692814
HCC,0.020083712733741998
CPRX,0.24670876279667753
OUT,1.1258838048891011
SFNC,0.10213081497920276
JWN,0.1737389475784771
TEX,0.21432736860034457
MAN,0.11974579140001618
ENVA,0.003323694055139192
PFSI,0.006112912669859739
CNK,0.6109086083279995
WNS,0.05010845253965625
LXP,0.017639594199477956
PTON,0.3818124555952437
RNG,330694.73428489035
FIBK,0.32078178232024385
LCII,0.5592180828570507
HUBG,0.019998210799018423
CPRI,1.2743142625670307
CVBF,0.05474664067342674
IPAR,0.04822893978938313
AI,0.4255616175078474
FIVN,68.80055891135333
SMG,0.5360266296042455
CNS,0.09300560503001226
QDEL,2.7941540282685495
GT,0.093700090920283
CHEF,0.35523998807027
VCTR,0.12020226007405654
SYNA,0.2035077928035472
LBRT,2.8434232680116303
BOKF,0.058204780402169434
TNET,0.11820663459363237
GPOR,0.43713868216596424
TWST,0.981640419260046
PSMT,0.04794145822321799
FFBC,0.032935340075164445
CWEN,0.21450215450907967
ATKR,0.02750309786216572
RRR,0.04768914505315229
PTGX,0.18563608252666527
AZZ,0.9192571117220143
VC,0.12304513093276634
AMKR,0.3726093764184457
SPB,0.11683712078036924
DIOD,0.742276812032507
FRME,0.040001252752543716
TMDX,1.8343803844305895
TBBK,0.11418790049639894
AEO,0.04382972621921058
HWKN,0.021447849183304404
CAKE,0.29575394678633193
SHO,0.06817628294742187
PI,0.23834710869335698
HNI,0.10098274316168586
MRCY,0.7655923632237931
SAM,0.11395995883180776
ENR,4.487782377540659
PRK,0.04524191437870671
RNST,0.05442922313019893
IIPR,0.03668137900668764
LIVN,3.2495346088105537
CXW,0.06586657153166131
SHOO,0.31191606797738347
TTMI,0.02289343722654147
PPC,0.17897741419188787
UEC,2.2758855775384705
SSRM,0.5664502089450636
JJSF,0.13856125417983878
VSEC,0.1248532872799139
NEOG,81.4893877935828
IPGP,1.0833074619236804
LZB,0.0339110816999304
ROCK,0.09243700104476588
ARWR,3.8937616120216276
EXTR,1.3252394944774704
SYBT,0.08721229069633506
EFSC,0.0241283214956427
RIG,0.31361404140311777
DVAX,0.7545024732194187
NTB,0.005138578030143638
AMBA,0.29484621081388707
BCRX,207.71266155725414
NVCR,3.8331607995441455
HI,0.1533236304703135
AGYS,0.1355276000886736
AGM,0.016973424749121727
OI,0.48220558501330973
MYRG,0.24063364408437746
BUSE,0.047843691148457386
CALX,0.08578889605964218
CSGS,0.03477221787851664
STNG,0.3954757915568161
CCS,0.2138718600417002
GRBK,0.22996023614110214
WAFD,0.04913794846883588
MGNI,2.303465670368271
OII,0.02683330560801
PLUS,0.029992904445020577
KWR,0.5817379743852871
AGX,0.06443451443392019
CENTA,0.04058721577292405
CASH,0.19162720594204102
KMT,0.05754457355110695
SEM,0.045551569901508604
DRH,0.021517217868172074
GOLF,0.06875181274610226
CWK,0.38688105998101585
ARCB,0.40389257037151466
HE,14.219795140041985
INOD,0.1597690169014621
POWL,0.48523104936235156
SBCF,0.09589653099832884
UPWK,0.2386630750499981
HMN,0.12022838131899216
NGVT,3.6366975009352176
CNMD,1.5142893603731489
MTRN,0.8104246367192401
PINC,0.1321238068673492
CHCO,0.010797813878357855
HTH,0.02560499911667503
